time	PKG-0	Dram-0	PKG-1	Dram-1	
123.5	85.51	16.30	91.88	16.82	
124.0	86.69	16.98	93.44	17.66	
124.5	84.16	15.18	90.52	15.90	
125.0	85.67	17.01	91.91	17.58	
125.5	82.46	14.04	88.56	14.87	
126.0	82.10	16.63	87.75	17.35	
126.5	76.14	12.51	81.77	12.89	
127.0	77.57	12.08	82.67	12.65	
127.5	78.16	14.87	83.79	15.47	
128.0	82.21	16.53	88.21	17.20	
128.5	89.74	18.27	96.31	19.32	
129.0	86.69	18.18	93.39	18.60	
129.5	81.74	15.29	87.76	16.11	
130.0	90.25	18.48	96.80	18.96	
130.5	88.45	17.27	95.04	18.06	
131.0	87.71	16.70	94.44	17.40	
131.5	81.46	15.41	87.67	16.26	
132.0	79.69	13.98	83.07	14.70	
132.5	83.77	15.78	90.33	16.43	
133.0	87.44	17.30	93.71	18.08	
133.5	88.06	17.82	94.93	18.57	
134.0	88.63	17.50	95.43	18.09	
134.5	89.54	17.93	96.38	18.62	
135.0	88.86	17.82	95.79	18.37	
135.5	88.31	16.87	95.30	17.63	
136.0	88.01	17.63	94.63	18.42	
136.5	88.74	17.22	95.60	17.90	
137.0	90.29	18.23	97.25	19.08	
137.5	86.32	16.88	92.69	17.38	
138.0	90.69	18.25	97.62	19.07	
138.5	86.07	16.67	92.48	17.12	
139.0	90.64	18.55	97.79	19.30	
139.5	86.72	16.69	93.13	17.41	
140.0	88.44	17.50	94.75	18.30	
140.5	88.32	17.11	95.13	17.85	
141.0	81.40	15.04	86.63	16.10	
141.5	87.02	16.64	93.16	17.37	
142.0	86.80	16.88	93.31	17.42	
142.5	79.69	14.46	85.78	15.15	
143.0	80.72	15.09	86.39	15.76	
143.5	73.28	12.27	78.46	12.95	
144.0	73.48	12.35	78.60	13.15	
144.5	81.31	15.06	87.31	16.12	
145.0	67.80	10.64	72.95	11.94	
145.5	72.46	11.86	77.01	13.58	
146.0	79.16	14.62	84.64	15.81	
146.5	79.85	14.58	85.98	16.04	
147.0	77.50	13.02	84.51	14.90	
147.5	70.99	13.20	76.57	15.06	
148.0	66.21	8.80	70.87	9.90	
148.5	72.94	12.58	78.00	14.08	
149.0	72.64	12.90	78.26	14.83	
149.5	80.08	15.47	87.49	17.70	
150.0	73.47	11.61	79.40	13.08	
150.5	89.87	17.60	97.34	19.93	
151.0	85.67	15.38	92.87	17.62	
151.5	84.79	14.99	91.80	16.88	
152.0	86.60	16.14	94.04	18.29	
152.5	88.69	16.87	95.82	18.93	
153.0	78.83	14.81	85.76	17.03	
153.5	86.85	16.16	94.24	18.37	
154.0	88.92	17.23	96.30	19.55	
