power.draw [W], utilization.gpu [%], utilization.memory [%]
193.12 W, 99 %, 96 %
193.32 W, 99 %, 96 %
193.32 W, 99 %, 96 %
193.03 W, 99 %, 96 %
193.03 W, 99 %, 96 %
193.51 W, 99 %, 96 %
193.32 W, 99 %, 96 %
193.32 W, 99 %, 96 %
193.41 W, 99 %, 96 %
193.41 W, 99 %, 96 %
193.22 W, 99 %, 96 %
193.32 W, 99 %, 96 %
193.32 W, 99 %, 95 %
193.03 W, 99 %, 95 %
193.03 W, 99 %, 95 %
193.22 W, 99 %, 95 %
193.03 W, 99 %, 95 %
193.03 W, 99 %, 95 %
192.55 W, 99 %, 95 %
192.55 W, 99 %, 95 %
193.12 W, 99 %, 95 %
192.93 W, 99 %, 95 %
192.93 W, 99 %, 95 %
193.70 W, 99 %, 95 %
193.70 W, 99 %, 95 %
193.22 W, 99 %, 95 %
193.22 W, 99 %, 96 %
193.22 W, 99 %, 96 %
193.22 W, 99 %, 96 %
193.22 W, 99 %, 96 %
193.60 W, 99 %, 96 %
193.32 W, 99 %, 96 %
193.32 W, 99 %, 96 %
193.70 W, 99 %, 96 %
193.70 W, 99 %, 96 %
193.32 W, 99 %, 96 %
193.79 W, 99 %, 96 %
193.79 W, 99 %, 96 %
193.03 W, 99 %, 96 %
193.03 W, 99 %, 96 %
193.03 W, 99 %, 96 %
193.51 W, 99 %, 96 %
193.51 W, 99 %, 96 %
193.32 W, 99 %, 96 %
193.32 W, 99 %, 96 %
193.32 W, 99 %, 96 %
193.32 W, 99 %, 96 %
193.32 W, 99 %, 96 %
193.22 W, 99 %, 96 %
193.22 W, 99 %, 96 %
193.41 W, 99 %, 96 %
193.70 W, 99 %, 96 %
193.70 W, 99 %, 96 %
193.32 W, 99 %, 96 %
193.32 W, 99 %, 96 %
193.41 W, 99 %, 96 %
192.84 W, 99 %, 96 %
192.84 W, 99 %, 96 %
193.32 W, 99 %, 96 %
193.32 W, 99 %, 96 %
193.41 W, 99 %, 96 %
193.41 W, 99 %, 96 %
193.41 W, 99 %, 96 %
193.32 W, 99 %, 96 %
193.32 W, 99 %, 96 %
193.22 W, 99 %, 96 %
193.32 W, 99 %, 96 %
193.32 W, 99 %, 96 %
193.79 W, 99 %, 96 %
193.79 W, 99 %, 96 %
193.41 W, 99 %, 96 %
193.70 W, 99 %, 96 %
193.70 W, 99 %, 96 %
193.51 W, 99 %, 96 %
193.51 W, 99 %, 96 %
193.70 W, 99 %, 96 %
193.03 W, 99 %, 96 %
193.03 W, 99 %, 96 %
193.12 W, 99 %, 96 %
193.12 W, 99 %, 96 %
193.22 W, 99 %, 96 %
193.60 W, 99 %, 96 %
193.60 W, 99 %, 96 %
193.03 W, 99 %, 96 %
193.03 W, 99 %, 96 %
193.22 W, 99 %, 96 %
193.22 W, 99 %, 96 %
193.22 W, 99 %, 96 %
193.22 W, 99 %, 96 %
193.22 W, 99 %, 96 %
193.41 W, 99 %, 96 %
193.12 W, 99 %, 96 %
193.12 W, 99 %, 96 %
193.32 W, 99 %, 96 %
193.32 W, 99 %, 96 %
193.89 W, 99 %, 96 %
193.41 W, 99 %, 96 %
193.41 W, 99 %, 96 %
193.41 W, 99 %, 96 %
193.41 W, 99 %, 96 %
193.51 W, 99 %, 96 %
193.70 W, 99 %, 96 %
193.70 W, 99 %, 96 %
193.70 W, 99 %, 96 %
193.70 W, 99 %, 96 %
193.51 W, 99 %, 96 %
193.60 W, 99 %, 96 %
193.60 W, 99 %, 96 %
193.66 W, 99 %, 96 %
193.66 W, 99 %, 96 %
193.70 W, 99 %, 96 %
193.70 W, 99 %, 96 %
193.70 W, 99 %, 96 %
193.60 W, 99 %, 96 %
193.60 W, 99 %, 96 %
193.32 W, 99 %, 96 %
193.98 W, 99 %, 96 %
193.98 W, 99 %, 96 %
193.70 W, 99 %, 96 %
193.70 W, 99 %, 96 %
193.98 W, 99 %, 96 %
193.60 W, 99 %, 96 %
193.60 W, 99 %, 96 %
193.98 W, 99 %, 96 %
193.98 W, 99 %, 96 %
193.12 W, 99 %, 96 %
193.12 W, 99 %, 96 %
193.12 W, 99 %, 96 %
193.38 W, 99 %, 96 %
193.38 W, 99 %, 96 %
193.70 W, 99 %, 96 %
193.79 W, 99 %, 96 %
193.79 W, 99 %, 96 %
193.51 W, 99 %, 96 %
193.51 W, 99 %, 96 %
193.22 W, 99 %, 96 %
193.79 W, 99 %, 96 %
193.79 W, 99 %, 95 %
194.08 W, 99 %, 95 %
194.08 W, 99 %, 95 %
193.76 W, 99 %, 95 %
