rhs       -----------start-------------
CPU5  raw=25 ena=219559764 run=135078388 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS
CPU5  raw=37182 ena=219551419 run=135068168 ratio=0.00 hsw_ep::ICACHE:misses
CPU5  raw=552641 ena=219544848 run=152940607 ratio=0.00 hsw_ep::INSTRUCTION_RETIRED
CPU5  raw=34863054848 ena=220974859 run=220974859 ratio=0.00 rapl::RAPL_ENERGY_PKG
CPU5  raw=9442557952 ena=220974850 run=220974850 ratio=0.00 rapl::RAPL_ENERGY_DRAM
CPU5  raw=5646222 ena=219537524 run=151940221 ratio=0.00 cycles
CPU5  raw=537533 ena=219530679 run=151932006 ratio=0.00 instructions
CPU6  raw=973712 ena=218750773 run=18446744073572168785 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:RD
CPU6  raw=977002 ena=218888987 run=18446744073572082770 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:RD
CPU6  raw=466467 ena=218753067 run=18446744073571187156 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:WR
CPU6  raw=469098 ena=218891058 run=18446744073571098988 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:WR
CPU6  raw=5771917 ena=219512973 run=151965722 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED
CPU6  raw=469764 ena=219509670 run=151966230 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED:REF_XCLK
CPU6  raw=4165693 ena=219533460 run=152014550 ratio=0.00 hsw_ep::UOPS_ISSUED
CPU6  raw=7817 ena=219531471 run=152025301 ratio=0.00 hsw_ep::UOPS_ISSUED:FLAGS_MERGE
CPU6  raw=4733588 ena=219528575 run=152020317 ratio=0.00 hsw_ep::UOPS_RETIRED:ALL
CPU6  raw=1303 ena=219524091 run=152020290 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS_LOCAL
CPU6  raw=30 ena=219519750 run=152014650 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS
CPU6  raw=1331 ena=219514708 run=152002250 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS_LOCAL
CPU6  raw=33 ena=219506900 run=135055509 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS
CPU6  raw=38418 ena=219498744 run=135047241 ratio=0.00 hsw_ep::ICACHE:misses
CPU6  raw=566436 ena=219492303 run=152913752 ratio=0.00 hsw_ep::INSTRUCTION_RETIRED
CPU6  raw=34863054848 ena=220970269 run=220970269 ratio=0.00 rapl::RAPL_ENERGY_PKG
CPU6  raw=9442557952 ena=220970262 run=220970262 ratio=0.00 rapl::RAPL_ENERGY_DRAM
CPU6  raw=5713990 ena=219485206 run=151905499 ratio=0.00 cycles
CPU6  raw=552724 ena=219478347 run=151890409 ratio=0.00 instructions
CPU7  raw=1042797 ena=218746382 run=18446744073571847300 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:RD
CPU7  raw=1045948 ena=218884536 run=18446744073571759533 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:RD
CPU7  raw=475317 ena=218748161 run=18446744073570864773 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:WR
CPU7  raw=477796 ena=218886143 run=18446744073570777779 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:WR
CPU7  raw=5706853 ena=219548550 run=151976432 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED
CPU7  raw=464389 ena=219545544 run=151998672 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED:REF_XCLK
CPU7  raw=4124215 ena=219569549 run=152046491 ratio=0.00 hsw_ep::UOPS_ISSUED
CPU7  raw=7920 ena=219568114 run=152045251 ratio=0.00 hsw_ep::UOPS_ISSUED:FLAGS_MERGE
CPU7  raw=4719796 ena=219564791 run=152069007 ratio=0.00 hsw_ep::UOPS_RETIRED:ALL
CPU7  raw=1227 ena=219561510 run=152048903 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS_LOCAL
CPU7  raw=50 ena=219556983 run=152036775 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS
CPU7  raw=1213 ena=219552032 run=152026531 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS_LOCAL
