iter 1
t_rhs     -----------start-------------
CPU5  raw=5107 ena=5618366 run=2042202 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED:REF_XCLK
CPU5  raw=75314 ena=5617829 run=3033371 ratio=0.00 hsw_ep::UOPS_ISSUED
CPU5  raw=394 ena=5613862 run=4040047 ratio=0.00 hsw_ep::UOPS_ISSUED:FLAGS_MERGE
CPU5  raw=120138 ena=5609501 run=5030507 ratio=0.00 hsw_ep::UOPS_RETIRED:ALL
CPU5  raw=85 ena=5606793 run=5606793 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS_LOCAL
CPU5  raw=2 ena=5603988 run=5603988 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS
CPU5  raw=79 ena=5600755 run=5600755 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS_LOCAL
CPU5  raw=0 ena=5597484 run=4592952 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS
CPU5  raw=378 ena=5594480 run=3602310 ratio=0.00 hsw_ep::ICACHE:misses
CPU5  raw=53885 ena=5592563 run=4598250 ratio=0.00 hsw_ep::INSTRUCTION_RETIRED
CPU5  raw=992477184 ena=5607507 run=5607507 ratio=0.00 rapl::RAPL_ENERGY_PKG
CPU5  raw=181862400 ena=5607521 run=5607521 ratio=0.00 rapl::RAPL_ENERGY_DRAM
CPU5  raw=148268 ena=5590416 run=2621207 ratio=0.00 cycles
CPU5  raw=43309 ena=5588266 run=1612786 ratio=0.00 instructions
CPU6  raw=0 ena=5551553 run=18446744073692851934 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:RD
CPU6  raw=0 ena=5556397 run=18446744073692852924 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:RD
CPU6  raw=0 ena=5553080 run=18446744073692854675 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:WR
CPU6  raw=0 ena=5557807 run=18446744073692855144 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:WR
CPU6  raw=125118 ena=5605118 run=1604343 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED
CPU6  raw=5043 ena=5628642 run=2042601 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED:REF_XCLK
CPU6  raw=74547 ena=5624610 run=3033650 ratio=0.00 hsw_ep::UOPS_ISSUED
CPU6  raw=381 ena=5620716 run=4040093 ratio=0.00 hsw_ep::UOPS_ISSUED:FLAGS_MERGE
CPU6  raw=120124 ena=5616605 run=5031152 ratio=0.00 hsw_ep::UOPS_RETIRED:ALL
CPU6  raw=77 ena=5613842 run=5613842 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS_LOCAL
CPU6  raw=3 ena=5611095 run=5611095 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS
CPU6  raw=75 ena=5607942 run=5607942 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS_LOCAL
CPU6  raw=1 ena=5604767 run=4600298 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS
CPU6  raw=372 ena=5601953 run=3609063 ratio=0.00 hsw_ep::ICACHE:misses
CPU6  raw=53889 ena=5600385 run=4605239 ratio=0.00 hsw_ep::INSTRUCTION_RETIRED
CPU6  raw=992477184 ena=5614637 run=5614637 ratio=0.00 rapl::RAPL_ENERGY_PKG
CPU6  raw=181862400 ena=5614982 run=5614982 ratio=0.00 rapl::RAPL_ENERGY_DRAM
CPU6  raw=148046 ena=5598937 run=2628373 ratio=0.00 cycles
CPU6  raw=43313 ena=5596747 run=1620093 ratio=0.00 instructions
CPU7  raw=0 ena=5549162 run=18446744073693651712 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:RD
CPU7  raw=0 ena=5554267 run=18446744073693652926 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:RD
CPU7  raw=0 ena=5550546 run=18446744073693654602 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:WR
CPU7  raw=0 ena=5555486 run=18446744073693655086 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:WR
CPU7  raw=127863 ena=5613207 run=1612129 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED
CPU7  raw=5163 ena=5610159 run=2042695 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED:REF_XCLK
CPU7  raw=75097 ena=5606176 run=3033708 ratio=0.00 hsw_ep::UOPS_ISSUED
CPU7  raw=390 ena=5602182 run=4039705 ratio=0.00 hsw_ep::UOPS_ISSUED:FLAGS_MERGE
CPU7  raw=119704 ena=5598191 run=5031676 ratio=0.00 hsw_ep::UOPS_RETIRED:ALL
CPU7  raw=63 ena=5595424 run=5595424 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS_LOCAL
CPU7  raw=7 ena=5592663 run=5592663 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS
CPU7  raw=61 ena=5589528 run=5589528 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS_LOCAL
CPU7  raw=0 ena=5586457 run=4581860 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS
CPU7  raw=412 ena=5583560 run=3590862 ratio=0.00 hsw_ep::ICACHE:misses
CPU7  raw=53371 ena=5581601 run=4586779 ratio=0.00 hsw_ep::INSTRUCTION_RETIRED
CPU7  raw=992477184 ena=5596123 run=5596123 ratio=0.00 rapl::RAPL_ENERGY_PKG
CPU7  raw=181862400 ena=5596156 run=5596156 ratio=0.00 rapl::RAPL_ENERGY_DRAM
CPU7  raw=149610 ena=5579505 run=2609927 ratio=0.00 cycles
CPU7  raw=43195 ena=5577262 run=1601846 ratio=0.00 instructions
CPU8  raw=0 ena=5540515 run=18446744073694455316 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:RD
CPU8  raw=0 ena=5545619 run=18446744073694456638 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:RD
CPU8  raw=0 ena=5542023 run=18446744073694458293 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:WR
CPU8  raw=0 ena=5547021 run=18446744073694459767 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:WR
CPU8  raw=129425 ena=5602609 run=1604100 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED
CPU8  raw=5223 ena=5599799 run=2041656 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED:REF_XCLK
CPU8  raw=74786 ena=5595811 run=3032619 ratio=0.00 hsw_ep::UOPS_ISSUED
