ep        -----------start-------------
CPU8  raw=34147999067 ena=41651933350 run=28833243027 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED
CPU8  raw=2628183647 ena=41651929789 run=28836066533 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED:REF_XCLK
CPU8  raw=74109708860 ena=41651926372 run=28838065185 ratio=0.00 hsw_ep::UOPS_ISSUED
CPU8  raw=1740140 ena=41651922719 run=28838334333 ratio=0.00 hsw_ep::UOPS_ISSUED:FLAGS_MERGE
CPU8  raw=46974953342 ena=41651919020 run=28838461203 ratio=0.00 hsw_ep::UOPS_RETIRED:ALL
CPU8  raw=4540173 ena=41651915245 run=28838008599 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS_LOCAL
CPU8  raw=94813 ena=41651910851 run=28837403953 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS
CPU8  raw=4541163 ena=41651904792 run=28836952756 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS_LOCAL
CPU8  raw=85141 ena=41651899361 run=25632185940 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS
CPU8  raw=3057816 ena=41651892740 run=25629769902 ratio=0.00 hsw_ep::ICACHE:misses
CPU8  raw=39851802254 ena=41651886991 run=28834603406 ratio=0.00 hsw_ep::INSTRUCTION_RETIRED
CPU8  raw=7255307845632 ena=41841962437 run=41841962437 ratio=0.00 rapl::RAPL_ENERGY_PKG
CPU8  raw=973716324352 ena=41841962093 run=41841962093 ratio=0.00 rapl::RAPL_ENERGY_DRAM
CPU8  raw=34127528364 ena=41651880254 run=28832142137 ratio=0.00 cycles
CPU8  raw=39850305031 ena=41651875259 run=28832159187 ratio=0.00 instructions
CPU9  raw=4721003 ena=41233327441 run=18446744051347341959 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:RD
CPU9  raw=4235922 ena=41263118095 run=18446744051326652963 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:RD
CPU9  raw=4010277 ena=41233329898 run=18446744051346264898 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:WR
CPU9  raw=3564612 ena=41263120541 run=18446744051325308938 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:WR
CPU9  raw=34125289649 ena=41654458926 run=28835269486 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED
CPU9  raw=2626320072 ena=41654455094 run=28838092714 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED:REF_XCLK
CPU9  raw=74101088791 ena=41654451200 run=28839781075 ratio=0.00 hsw_ep::UOPS_ISSUED
CPU9  raw=1385088 ena=41654382553 run=28839748140 ratio=0.00 hsw_ep::UOPS_ISSUED:FLAGS_MERGE
CPU9  raw=46960241794 ena=41654378466 run=28839651036 ratio=0.00 hsw_ep::UOPS_RETIRED:ALL
