ep        -----------start-------------
CPU5  raw=10553 ena=15700600231 run=10871091765 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS_LOCAL
CPU5  raw=58286 ena=15700597202 run=9663071744 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS
CPU5  raw=1142403 ena=15700594344 run=9661923103 ratio=0.00 hsw_ep::ICACHE:misses
CPU5  raw=23231247202 ena=15700592583 run=10870274074 ratio=0.00 hsw_ep::INSTRUCTION_RETIRED
CPU5  raw=3927166681088 ena=15754490158 run=15754490158 ratio=0.00 rapl::RAPL_ENERGY_PKG
CPU5  raw=318615126016 ena=15754489852 run=15754489852 ratio=0.00 rapl::RAPL_ENERGY_DRAM
CPU5  raw=19815626094 ena=15700589814 run=10867943651 ratio=0.00 cycles
CPU5  raw=23234433807 ena=15700586390 run=10867221829 ratio=0.00 instructions
CPU6  raw=401622 ena=15592157337 run=18446744065243245522 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:RD
CPU6  raw=195327 ena=15602193617 run=18446744065238013427 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:RD
CPU6  raw=275139 ena=15592159487 run=18446744065242478084 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:WR
CPU6  raw=107486 ena=15602195698 run=18446744065237084080 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:WR
CPU6  raw=19825527374 ena=15703238642 run=10869046703 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED
CPU6  raw=1024606032 ena=15703236159 run=10869670683 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED:REF_XCLK
CPU6  raw=43188772158 ena=15703232904 run=10871096051 ratio=0.00 hsw_ep::UOPS_ISSUED
CPU6  raw=535778 ena=15703229563 run=10871806276 ratio=0.00 hsw_ep::UOPS_ISSUED:FLAGS_MERGE
CPU6  raw=27321389962 ena=15703226020 run=10872758126 ratio=0.00 hsw_ep::UOPS_RETIRED:ALL
CPU6  raw=17893 ena=15703223242 run=10873669721 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS_LOCAL
CPU6  raw=13223 ena=15703219684 run=10873495642 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS
CPU6  raw=17941 ena=15703216450 run=10873268458 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS_LOCAL
CPU6  raw=13036 ena=15703213348 run=9664669819 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS
CPU6  raw=1114490 ena=15703222089 run=9663147807 ratio=0.00 hsw_ep::ICACHE:misses
CPU6  raw=23231935684 ena=15703219912 run=10871670160 ratio=0.00 hsw_ep::INSTRUCTION_RETIRED
CPU6  raw=3927166681088 ena=15754471897 run=15754471897 ratio=0.00 rapl::RAPL_ENERGY_PKG
CPU6  raw=318615126016 ena=15754471497 run=15754471497 ratio=0.00 rapl::RAPL_ENERGY_DRAM
CPU6  raw=19814318394 ena=15703218057 run=10869511309 ratio=0.00 cycles
CPU6  raw=23234573541 ena=15703215771 run=10868967481 ratio=0.00 instructions
CPU7  raw=426645 ena=15592142112 run=18446744065243159303 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:RD
CPU7  raw=221109 ena=15602178133 run=18446744065237487170 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:RD
CPU7  raw=261253 ena=15592143130 run=18446744065242420765 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:WR
CPU7  raw=92939 ena=15602179310 run=18446744065236739187 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:WR
CPU7  raw=19820121208 ena=15704187884 run=10869398146 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED
CPU7  raw=1024419771 ena=15704185394 run=10870011042 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED:REF_XCLK
CPU7  raw=43190390740 ena=15704181028 run=10871553700 ratio=0.00 hsw_ep::UOPS_ISSUED
CPU7  raw=522762 ena=15704178300 run=10872478371 ratio=0.00 hsw_ep::UOPS_ISSUED:FLAGS_MERGE
CPU7  raw=27327947760 ena=15704174943 run=10873446063 ratio=0.00 hsw_ep::UOPS_RETIRED:ALL
CPU7  raw=33982 ena=15704172189 run=10874209950 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS_LOCAL
CPU7  raw=13582 ena=15704169337 run=10873985205 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS
CPU7  raw=34064 ena=15704166103 run=10874068101 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS_LOCAL
CPU7  raw=14282 ena=15704162864 run=9665528886 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS
CPU7  raw=1124066 ena=15704159387 run=9664154114 ratio=0.00 hsw_ep::ICACHE:misses
CPU7  raw=23226821993 ena=15704157226 run=10872749685 ratio=0.00 hsw_ep::INSTRUCTION_RETIRED
CPU7  raw=3927166681088 ena=15754439519 run=15754439519 ratio=0.00 rapl::RAPL_ENERGY_PKG
CPU7  raw=318615126016 ena=15754438917 run=15754438917 ratio=0.00 rapl::RAPL_ENERGY_DRAM
CPU7  raw=19808778742 ena=15704154361 run=10870286965 ratio=0.00 cycles
CPU7  raw=23231260632 ena=15704165221 run=10869372920 ratio=0.00 instructions
CPU8  raw=430061 ena=15592125226 run=18446744065242978948 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:RD
CPU8  raw=224034 ena=15602161389 run=18446744065237376788 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:RD
CPU8  raw=243133 ena=15592127183 run=18446744065242108686 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:WR
CPU8  raw=74810 ena=15602163591 run=18446744065236442976 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:WR
CPU8  raw=19831553110 ena=15699627770 run=10865857595 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED
CPU8  raw=1024902938 ena=15699625388 run=10866698067 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED:REF_XCLK
CPU8  raw=43191983663 ena=15699621898 run=10868513838 ratio=0.00 hsw_ep::UOPS_ISSUED
CPU8  raw=530208 ena=15699617312 run=10869782488 ratio=0.00 hsw_ep::UOPS_ISSUED:FLAGS_MERGE
CPU8  raw=27327186764 ena=15699613446 run=10870757483 ratio=0.00 hsw_ep::UOPS_RETIRED:ALL
CPU8  raw=70025 ena=15699610467 run=10871477384 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS_LOCAL
CPU8  raw=13269 ena=15699606954 run=10871210165 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS
CPU8  raw=70056 ena=15699603759 run=10870992856 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS_LOCAL
CPU8  raw=13214 ena=15699600618 run=9662636467 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS
CPU8  raw=1199024 ena=15699597368 run=9661077815 ratio=0.00 hsw_ep::ICACHE:misses
CPU8  raw=23224683693 ena=15699595130 run=10869273996 ratio=0.00 hsw_ep::INSTRUCTION_RETIRED
CPU8  raw=3927166681088 ena=15754421345 run=15754421345 ratio=0.00 rapl::RAPL_ENERGY_PKG
CPU8  raw=318615126016 ena=15754421673 run=15754421673 ratio=0.00 rapl::RAPL_ENERGY_DRAM
CPU8  raw=19820201049 ena=15699592643 run=10866726386 ratio=0.00 cycles
CPU8  raw=23231358059 ena=15699590065 run=10865711963 ratio=0.00 instructions
CPU9  raw=416752 ena=15592089961 run=18446744065242131059 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:RD
CPU9  raw=210222 ena=15602127720 run=18446744065236313962 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:RD
CPU9  raw=228692 ena=15592093900 run=18446744065240234982 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:WR
CPU9  raw=60744 ena=15602131158 run=18446744065234363385 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:WR
CPU9  raw=19824523642 ena=15702602247 run=10867496419 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED
CPU9  raw=1024541546 ena=15702602467 run=10868479825 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED:REF_XCLK
CPU9  raw=43182932421 ena=15702599342 run=10870499578 ratio=0.00 hsw_ep::UOPS_ISSUED
CPU9  raw=521111 ena=15702596810 run=10871878658 ratio=0.00 hsw_ep::UOPS_ISSUED:FLAGS_MERGE
CPU9  raw=27321605153 ena=15702593319 run=10873081258 ratio=0.00 hsw_ep::UOPS_RETIRED:ALL
CPU9  raw=8160 ena=15702590640 run=10873872523 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS_LOCAL
CPU9  raw=11296 ena=15702587745 run=10873408311 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS
CPU9  raw=8304 ena=15702584642 run=10873276617 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS_LOCAL
CPU9  raw=11622 ena=15702581627 run=9664628067 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS
CPU9  raw=1118924 ena=15702578391 run=9662858982 ratio=0.00 hsw_ep::ICACHE:misses
CPU9  raw=23227944826 ena=15702576048 run=10871343083 ratio=0.00 hsw_ep::INSTRUCTION_RETIRED
CPU9  raw=3927166681088 ena=15754396111 run=15754396111 ratio=0.00 rapl::RAPL_ENERGY_PKG
CPU9  raw=318615126016 ena=15754395454 run=15754395454 ratio=0.00 rapl::RAPL_ENERGY_DRAM
CPU9  raw=19813018358 ena=15702572528 run=10868638880 ratio=0.00 cycles
CPU9  raw=23231444905 ena=15702570221 run=10867515927 ratio=0.00 instructions
CPU10  raw=403355 ena=15592064028 run=18446744065239765948 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:RD
CPU10  raw=197501 ena=15602101303 run=18446744065233791507 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:RD
CPU10  raw=226912 ena=15592067138 run=18446744065237832550 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:WR
CPU10  raw=59385 ena=15602104181 run=18446744065231615188 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:WR
CPU10  raw=19837754370 ena=15703331831 run=10869191441 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED
