         #Time  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM
 1455367519.38     0     43.83     28.99     31.14    10     44.06     29.19     30.56
 1455367519.48     0     43.40     28.71     30.43    10     44.13     29.25     30.65
 1455367519.58     0     44.32     29.33     30.95    10     43.33     28.47     30.68
 1455367519.68     0     43.80     28.97     30.44    10     44.06     29.19     30.75
 1455367519.78     0     43.84     28.99     30.84    10     43.56     28.69     30.61
 1455367519.88     0     43.83     28.98     30.74    10     43.82     28.94     30.65
 1455367519.98     0     43.82     28.98     30.83    10     44.03     29.15     30.66
 1455367520.08     0     43.85     29.00     30.75    10     44.10     29.21     30.68
 1455367520.18     0     43.79     28.94     30.76    10     43.71     28.84     30.63
 1455367520.28     0     43.84     29.00     30.65    10     44.10     29.21     30.77
 1455367520.38     0     43.77     28.94     30.81    10     44.04     29.16     30.57
 1455367520.48     0     43.85     29.01     30.74    10     44.07     29.18     30.75
 1455367520.58     0     43.81     28.96     30.85    10     44.06     29.18     30.67
 1455367520.68     0     43.80     28.95     30.84    10     43.70     28.82     30.53
 1455367520.78     0     43.76     28.92     30.65    10     44.10     29.23     30.55
 1455367520.88     0     43.82     28.98     30.73    10     44.05     29.17     30.67
 1455367520.98     0     43.82     28.97     30.85    10     44.07     29.19     30.76
 1455367521.08     0     43.41     29.41     24.60    10     43.18     29.44     22.34
 1455367521.18     0     44.02     29.17     30.43    10     43.89     29.29     30.65
 1455367521.28     0     43.80     28.95     30.74    10     44.49     29.18     30.75
 1455367521.38     0     43.84     28.99     30.74    10     43.73     28.85     30.94
 1455367521.48     0     43.89     29.03     30.65    10     43.65     28.91     30.36
 1455367521.58     0     43.88     29.03     30.84    10     44.16     29.13     30.94
 1455367521.68     0     43.88     29.02     30.85    10     44.05     29.17     30.45
 1455367521.78     0     43.89     29.03     30.75    10     44.05     29.16     31.06
 1455367521.88     0     43.87     29.02     30.83    10     43.43     28.56     30.62
 1455367521.98     0     43.84     28.99     30.74    10     43.95     29.07     30.74
 1455367522.09     0     43.80     28.95     30.84    10     43.74     28.87     30.73
 1455367522.19     0     43.82     28.97     30.74    10     43.71     28.83     30.54
 1455367522.29     0     43.81     28.96     30.74    10     43.27     28.54     30.43
 1455367522.39     0     43.90     29.02     30.80    10     44.58     29.53     31.03
 1455367522.49     0     43.85     29.00     30.74    10     43.37     28.64     30.34
 1455367522.59     0     44.00     29.10     30.83    10     43.82     28.91     30.73
 1455367522.69     0     43.87     29.01     30.76    10     44.09     29.21     30.67
 1455367522.79     0     43.79     28.94     30.75    10     43.74     28.85     30.74
 1455367522.89     0     43.85     29.01     30.74    10     43.71     28.84     30.73
 1455367522.99     0     43.81     28.95     30.66    10     44.03     29.15     30.58
 1455367523.09     0     43.79     28.94     30.85    10     44.03     29.15     30.77
 1455367523.19     0     43.88     29.03     30.75    10     44.07     29.19     30.58
 1455367523.29     0     43.85     29.00     30.85    10     44.07     29.19     30.76
 1455367523.39     0     43.85     29.00     30.83    10     44.04     29.16     30.66
 1455367523.49     0     43.98     29.13     30.55    10     44.06     29.19     30.74
 1455367523.59     0     43.79     28.95     30.64    10     44.04     29.15     30.67
 1455367523.69     0     43.83     28.98     30.83    10     44.06     29.17     30.57
 1455367523.79     0     43.52     28.67     30.83    10     44.01     29.13     30.66
 1455367523.89     0     43.88     29.04     30.84    10     44.03     29.15     30.76
 1455367523.99     0     43.85     29.01     30.65    10     44.02     29.14     30.66
 1455367524.09     0     43.80     28.95     30.64    10     43.70     28.82     30.74
 1455367524.19     0     43.82     28.97     30.76    10     43.73     28.85     30.73
 1455367524.29     0     43.84     29.00     30.83    10     44.03     29.16     30.66
 1455367524.39     0     43.86     29.01     30.65    10     44.06     29.18     30.77
 1455367524.49     0     43.87     29.02     30.85    10     44.06     29.18     30.77
 1455367524.59     0     43.84     28.99     30.84    10     44.08     29.19     30.78
 1455367524.69     0     43.92     29.07     30.75    10     44.05     29.17     30.76
 1455367524.79     0     43.93     29.07     30.77    10     44.12     29.23     30.67
 1455367524.90     0     43.90     29.05     30.74    10     43.69     28.81     30.54
 1455367525.00     0     43.86     29.01     30.84    10     44.06     29.18     30.66
 1455367525.10     0     43.86     29.00     30.85    10     44.06     29.18     30.65
 1455367525.20     0     43.91     29.05     30.66    10     44.00     29.14     30.53
 1455367525.30     0     43.99     29.16     30.64    10     44.09     29.50     30.76
 1455367525.40     0     44.18     29.48     29.35    10     44.06     28.88     30.59
 1455367525.50     0     43.87     29.12     29.61    10     43.92     29.26     28.85
 1455367525.60     0     43.16     28.44     29.54    10     43.80     29.08     29.55
 1455367525.70     0     43.59     28.84     29.71    10     44.07     29.18     30.49
 1455367525.80     0     43.95     29.21     29.67    10     44.07     29.18     30.79
 1455367525.90     0     43.85     29.25     28.56    10     44.13     29.25     30.68
 1455367526.00     0     43.72     29.11     29.13    10     43.08     28.27     29.99
 1455367526.10     0     44.44     29.71     29.91    10     44.13     29.42     28.90
 1455367526.20     0     43.83     29.26     28.44    10     43.63     29.03     28.02
 1455367526.30     0     43.45     28.98     27.36    10     43.48     28.89     28.60
 1455367526.40     0     43.09     29.11     25.34    10     43.33     28.87     27.30
 1455367526.50     0     43.27     29.52     22.73    10     43.40     29.23     25.02
 1455367526.60     0     43.38     29.65     22.63    10     43.24     29.52     22.39
 1455367526.70     0     43.48     29.98     20.36    10     43.13     29.43     21.78
 1455367526.80     0     43.26     30.49     15.06    10     42.79     29.27     21.31
 1455367526.90     0     44.12     31.36     14.88    10     42.96     29.90     16.99
 1455367527.00     0     43.71     31.08     15.01    10     43.88     31.14     14.53
 1455367527.10     0     43.83     31.06     14.63    10     43.67     30.92     14.48
 1455367527.20     0     41.60     29.18     11.72    10     41.06     28.50     12.67
